PRACTICE_CODE,INDICATOR_GROUP_CODE,REGISTER,PATIENT_LIST_TYPE,PATIENT_LIST_SIZE
A81027,HF,128,TOTAL,14436
A81027,HYP,2151,TOTAL,14436
A81027,LD,19,TOTAL,14436
A81027,MH,91,TOTAL,14436
A81027,OB,1279,18OV,11650
A81027,OST,18,50OV,6393
A81027,PAD,71,TOTAL,14436
A81027,PC,134,TOTAL,14436
A81027,RA,82,16OV,11945
A81027,STIA,333,TOTAL,14436
A81029,AF,96,TOTAL,6031
A81029,AST,248,TOTAL,6031
A81029,CAN,127,TOTAL,6031
A81029,CHD,222,TOTAL,6031
A81029,CKD,208,18OV,4866
A81029,COPD,210,TOTAL,6031
A81029,CVDPP,35,30_74,3159
A81029,DEM,39,TOTAL,6031
A81029,DEP,543,18OV,4866
A81029,DM,295,17OV,4927
A81029,EP,55,18OV,4866
A81029,HF,37,TOTAL,6031
A81029,HYP,792,TOTAL,6031
A81029,LD,39,TOTAL,6031
A81029,MH,75,TOTAL,6031
A81029,OB,619,18OV,4866
A81029,OST,7,50OV,1762
A81029,PAD,64,TOTAL,6031
A81029,PC,29,TOTAL,6031
A81029,RA,28,16OV,4976
A81029,STIA,114,TOTAL,6031
A81030,AF,270,TOTAL,13691
A81030,AST,884,TOTAL,13691
A81030,CAN,244,TOTAL,13691
A81030,CHD,463,TOTAL,13691
A81030,CKD,303,18OV,10627
A81030,COPD,263,TOTAL,13691
A81030,CVDPP,76,30_74,7390
A81030,DEM,137,TOTAL,13691
A81030,DEP,1046,18OV,10627
A81030,DM,662,17OV,10786
A81030,EP,109,18OV,10627
A81030,HF,107,TOTAL,13691
A81030,HYP,1817,TOTAL,13691
A81030,LD,57,TOTAL,13691
A81030,MH,109,TOTAL,13691
A81030,OB,974,18OV,10627
A81030,OST,18,50OV,5176
A81030,PAD,109,TOTAL,13691
A81030,PC,122,TOTAL,13691
A81030,RA,92,16OV,10920
A81030,STIA,264,TOTAL,13691
A81031,AF,244,TOTAL,12721
A81031,AST,888,TOTAL,12721
A81031,CAN,383,TOTAL,12721
A81031,CHD,554,TOTAL,12721
A81031,CKD,393,18OV,10084
A81031,COPD,424,TOTAL,12721
A81031,CVDPP,124,30_74,7084
A81031,DEM,133,TOTAL,12721
A81031,DEP,675,18OV,10084
A81031,DM,702,17OV,10213
A81031,EP,131,18OV,10084
A81031,HF,122,TOTAL,12721
A81031,HYP,2117,TOTAL,12721
A81031,LD,99,TOTAL,12721
A81031,MH,121,TOTAL,12721
A81031,OB,1566,18OV,10084
A81031,OST,3,50OV,4951
A81031,PAD,111,TOTAL,12721
A81031,PC,64,TOTAL,12721
A81031,RA,110,16OV,10346
A81031,STIA,266,TOTAL,12721
A81032,AF,258,TOTAL,10757
A81032,AST,677,TOTAL,10757
A81032,CAN,331,TOTAL,10757
A81032,CHD,438,TOTAL,10757
A81032,CKD,214,18OV,8797
A81032,COPD,264,TOTAL,10757
A81032,CVDPP,72,30_74,6183
A81032,DEM,125,TOTAL,10757
A81032,DEP,1002,18OV,8797
A81032,DM,589,17OV,8917
A81032,EP,82,18OV,8797
A81032,HF,97,TOTAL,10757
A81032,HYP,1635,TOTAL,10757
A81032,LD,45,TOTAL,10757
A81032,MH,121,TOTAL,10757
A81032,OB,707,18OV,8797
A81032,OST,13,50OV,4945
A81032,PAD,87,TOTAL,10757
A81032,PC,98,TOTAL,10757
A81032,RA,57,16OV,9041
A81032,STIA,268,TOTAL,10757
A81034,AF,363,TOTAL,21860
A81034,AST,1459,TOTAL,21860
A81034,CAN,535,TOTAL,21860
A81034,CHD,704,TOTAL,21860
A81034,CKD,717,18OV,16469
A81034,COPD,513,TOTAL,21860
A81034,CVDPP,183,30_74,12222
A81034,DEM,204,TOTAL,21860
A81034,DEP,3110,18OV,16469
A81034,DM,1127,17OV,16714
A81034,EP,158,18OV,16469
A81034,HF,224,TOTAL,21860
A81034,HYP,3013,TOTAL,21860
A81034,LD,104,TOTAL,21860
A81034,MH,135,TOTAL,21860
A81034,OB,2050,18OV,16469
A81034,OST,28,50OV,7098
A81034,PAD,139,TOTAL,21860
A81034,PC,167,TOTAL,21860
A81034,RA,82,16OV,16969
A81034,STIA,426,TOTAL,21860
A81035,AF,192,TOTAL,10280
A81035,AST,646,TOTAL,10280
A81035,CAN,249,TOTAL,10280
A81035,CHD,388,TOTAL,10280
A81035,CKD,345,18OV,8007
A81035,COPD,318,TOTAL,10280
A81035,CVDPP,62,30_74,5630
A81035,DEM,63,TOTAL,10280
A81035,DEP,627,18OV,8007
A81035,DM,582,17OV,8110
A81035,EP,87,18OV,8007
A81035,HF,88,TOTAL,10280
A81035,HYP,1455,TOTAL,10280
A81035,LD,100,TOTAL,10280
A81035,MH,120,TOTAL,10280
A81035,OB,1033,18OV,8007
A81035,OST,8,50OV,3568
A81035,PAD,115,TOTAL,10280
A81035,PC,39,TOTAL,10280
A81035,RA,57,16OV,8219
A81035,STIA,201,TOTAL,10280
A81036,AF,462,TOTAL,17812
A81036,AST,1362,TOTAL,17812
A81036,CAN,562,TOTAL,17812
A81036,CHD,757,TOTAL,17812
A81036,CKD,849,18OV,13977
A81036,COPD,519,TOTAL,17812
A81036,CVDPP,108,30_74,10042
A81036,DEM,234,TOTAL,17812
A81036,DEP,2470,18OV,13977
A81036,DM,936,17OV,14156
A81036,EP,174,18OV,13977
A81036,HF,219,TOTAL,17812
A81036,HYP,3152,TOTAL,17812
A81036,LD,78,TOTAL,17812
A81036,MH,172,TOTAL,17812
A81036,OB,2106,18OV,13977
A81036,OST,40,50OV,6922
A81036,PAD,125,TOTAL,17812
A81036,PC,186,TOTAL,17812
A81036,RA,127,16OV,14332
A81036,STIA,455,TOTAL,17812
A81037,AF,93,TOTAL,6814
A81037,AST,343,TOTAL,6814
A81037,CAN,168,TOTAL,6814
A81037,CHD,230,TOTAL,6814
A81037,CKD,122,18OV,5314
A81037,COPD,238,TOTAL,6814
A81037,CVDPP,78,30_74,3500
A81037,DEM,52,TOTAL,6814
A81037,DEP,402,18OV,5314
A81037,DM,452,17OV,5401
A81037,EP,55,18OV,5314
A81037,HF,63,TOTAL,6814
A81037,HYP,976,TOTAL,6814
A81037,LD,63,TOTAL,6814
A81037,MH,68,TOTAL,6814
A81037,OB,538,18OV,5314
A81037,OST,6,50OV,2158
A81037,PAD,52,TOTAL,6814
A81037,PC,78,TOTAL,6814
A81037,RA,38,16OV,5481
A81037,STIA,113,TOTAL,6814
A81038,AF,41,TOTAL,3571
A81038,AST,159,TOTAL,3571
A81038,CAN,59,TOTAL,3571
A81038,CHD,137,TOTAL,3571
A81038,CKD,73,18OV,2593
A81038,COPD,125,TOTAL,3571
A81038,CVDPP,21,30_74,1828
A81038,DEM,23,TOTAL,3571
A81038,DEP,78,18OV,2593
A81038,DM,243,17OV,2644
A81038,EP,33,18OV,2593
A81038,HF,24,TOTAL,3571
A81038,HYP,442,TOTAL,3571
A81038,LD,33,TOTAL,3571
A81038,MH,31,TOTAL,3571
A81038,OB,325,18OV,2593
A81038,OST,6,50OV,1032
A81038,PAD,14,TOTAL,3571
A81038,PC,16,TOTAL,3571
A81038,RA,13,16OV,2696
A81038,STIA,63,TOTAL,3571
A81039,AF,199,TOTAL,10145
A81039,AST,761,TOTAL,10145
A81039,CAN,261,TOTAL,10145
A81039,CHD,311,TOTAL,10145
A81039,CKD,257,18OV,7909
A81039,COPD,102,TOTAL,10145
A81039,CVDPP,47,30_74,5939
A81039,DEM,70,TOTAL,10145
A81039,DEP,920,18OV,7909
A81039,DM,467,17OV,8012
A81039,EP,62,18OV,7909
A81039,HF,58,TOTAL,10145
A81039,HYP,1276,TOTAL,10145
A81039,LD,33,TOTAL,10145
A81039,MH,62,TOTAL,10145
A81039,OB,867,18OV,7909
A81039,OST,13,50OV,3919
A81039,PAD,46,TOTAL,10145
A81039,PC,60,TOTAL,10145
A81039,RA,63,16OV,8144
A81039,STIA,183,TOTAL,10145
A81040,AF,199,TOTAL,8578
A81040,AST,552,TOTAL,8578
A81040,CAN,261,TOTAL,8578
A81040,CHD,356,TOTAL,8578
A81040,CKD,390,18OV,6797
A81040,COPD,225,TOTAL,8578
A81040,CVDPP,56,30_74,5003
A81040,DEM,77,TOTAL,8578
A81040,DEP,1185,18OV,6797
A81040,DM,488,17OV,6887
A81040,EP,52,18OV,6797
A81040,HF,86,TOTAL,8578
A81040,HYP,1327,TOTAL,8578
A81040,LD,35,TOTAL,8578
A81040,MH,69,TOTAL,8578
A81040,OB,929,18OV,6797
A81040,OST,10,50OV,3433
A81040,PAD,66,TOTAL,8578
A81040,PC,68,TOTAL,8578
A81040,RA,63,16OV,6992
A81040,STIA,156,TOTAL,8578
A81041,AF,229,TOTAL,9141
A81041,AST,428,TOTAL,9141
A81041,CAN,305,TOTAL,9141
A81041,CHD,458,TOTAL,9141
A81041,CKD,339,18OV,7451
A81041,COPD,364,TOTAL,9141
A81041,CVDPP,67,30_74,5280
A81041,DEM,99,TOTAL,9141
A81041,DEP,715,18OV,7451
A81041,DM,562,17OV,7553
A81041,EP,80,18OV,7451
A81041,HF,98,TOTAL,9141
A81041,HYP,1757,TOTAL,9141
A81041,LD,58,TOTAL,9141
A81041,MH,81,TOTAL,9141
A81041,OB,1377,18OV,7451
A81041,OST,7,50OV,3981
A81041,PAD,43,TOTAL,9141
A81041,PC,53,TOTAL,9141
A81041,RA,67,16OV,7630
A81041,STIA,182,TOTAL,9141
A81042,AF,192,TOTAL,11011
A81042,AST,649,TOTAL,11011
A81042,CAN,273,TOTAL,11011
A81042,CHD,465,TOTAL,11011
A81042,CKD,375,18OV,8454
A81042,COPD,481,TOTAL,11011
A81042,CVDPP,65,30_74,5957
A81042,DEM,98,TOTAL,11011
A81042,DEP,1359,18OV,8454
A81042,DM,788,17OV,8556
A81042,EP,117,18OV,8454
A81042,HF,90,TOTAL,11011
A81042,HYP,1768,TOTAL,11011
A81042,LD,87,TOTAL,11011
A81042,MH,112,TOTAL,11011
A81042,OB,791,18OV,8454
A81042,OST,19,50OV,3988
A81042,PAD,113,TOTAL,11011
A81042,PC,101,TOTAL,11011
A81042,RA,75,16OV,8691
A81042,STIA,223,TOTAL,11011
A81043,AF,188,TOTAL,8440
A81043,AST,588,TOTAL,8440
A81043,CAN,316,TOTAL,8440
A81043,CHD,437,TOTAL,8440
A81043,CKD,162,18OV,6750
A81043,COPD,283,TOTAL,8440
A81043,CVDPP,36,30_74,4632
A81043,DEM,70,TOTAL,8440
