PRACTICE_CODE,INDICATOR_GROUP_CODE,REGISTER,PATIENT_LIST_TYPE,PATIENT_LIST_SIZE
A81027,CVDPP,80,30_74,8335
A81027,DEM,135,TOTAL,13827
A81027,DEP,1073,18OV,11233
A81027,DM,629,17OV,11366
A81027,EP,74,18OV,11233
A81027,HF,117,TOTAL,13827
A81027,HYP,2099,TOTAL,13827
A81027,LD,18,TOTAL,13827
A81027,MH,92,TOTAL,13827
A81027,OB,1182,18OV,11233
A81027,OST,12,50OV,6152
A81027,PAD,70,TOTAL,13827
A81027,PC,175,TOTAL,13827
A81027,RA,78,16OV,11516
A81027,STIA,325,TOTAL,13827
A81029,AF,94,TOTAL,5815
A81029,AST,227,TOTAL,5815
A81029,CAN,122,TOTAL,5815
A81029,CHD,217,TOTAL,5815
A81029,CKD,219,18OV,4656
A81029,COPD,208,TOTAL,5815
A81029,CVDPP,32,30_74,3015
A81029,DEM,39,TOTAL,5815
A81029,DEP,489,18OV,4656
A81029,DM,274,17OV,4716
A81029,EP,48,18OV,4656
A81029,HF,39,TOTAL,5815
A81029,HYP,775,TOTAL,5815
A81029,LD,36,TOTAL,5815
A81029,MH,70,TOTAL,5815
A81029,OB,613,18OV,4656
A81029,OST,7,50OV,1723
A81029,PAD,59,TOTAL,5815
A81029,PC,24,TOTAL,5815
A81029,RA,30,16OV,4774
A81029,STIA,106,TOTAL,5815
A81030,AF,247,TOTAL,12656
A81030,AST,827,TOTAL,12656
A81030,CAN,244,TOTAL,12656
A81030,CHD,448,TOTAL,12656
A81030,CKD,271,18OV,9943
A81030,COPD,267,TOTAL,12656
A81030,CVDPP,97,30_74,6916
A81030,DEM,131,TOTAL,12656
A81030,DEP,935,18OV,9943
A81030,DM,602,17OV,10101
A81030,EP,90,18OV,9943
A81030,HF,92,TOTAL,12656
A81030,HYP,1690,TOTAL,12656
A81030,LD,51,TOTAL,12656
A81030,MH,107,TOTAL,12656
A81030,OB,821,18OV,9943
A81030,OST,16,50OV,4901
A81030,PAD,96,TOTAL,12656
A81030,PC,94,TOTAL,12656
A81030,RA,90,16OV,10244
A81030,STIA,249,TOTAL,12656
A81031,AF,248,TOTAL,12662
A81031,AST,823,TOTAL,12662
A81031,CAN,359,TOTAL,12662
A81031,CHD,573,TOTAL,12662
A81031,CKD,410,18OV,10065
A81031,COPD,424,TOTAL,12662
A81031,CVDPP,114,30_74,6994
A81031,DEM,135,TOTAL,12662
A81031,DEP,568,18OV,10065
A81031,DM,711,17OV,10209
A81031,EP,123,18OV,10065
A81031,HF,120,TOTAL,12662
A81031,HYP,2088,TOTAL,12662
A81031,LD,104,TOTAL,12662
A81031,MH,128,TOTAL,12662
A81031,OB,1377,18OV,10065
A81031,OST,4,50OV,4907
A81031,PAD,119,TOTAL,12662
A81031,PC,66,TOTAL,12662
A81031,RA,107,16OV,10334
A81031,STIA,270,TOTAL,12662
A81032,AF,242,TOTAL,10603
A81032,AST,662,TOTAL,10603
A81032,CAN,305,TOTAL,10603
A81032,CHD,421,TOTAL,10603
A81032,CKD,229,18OV,8640
A81032,COPD,264,TOTAL,10603
A81032,CVDPP,77,30_74,6096
A81032,DEM,125,TOTAL,10603
A81032,DEP,926,18OV,8640
A81032,DM,549,17OV,8757
A81032,EP,81,18OV,8640
A81032,HF,88,TOTAL,10603
A81032,HYP,1576,TOTAL,10603
A81032,LD,44,TOTAL,10603
A81032,MH,120,TOTAL,10603
A81032,OB,713,18OV,8640
A81032,OST,11,50OV,4799
A81032,PAD,94,TOTAL,10603
A81032,PC,97,TOTAL,10603
A81032,RA,57,16OV,8881
A81032,STIA,242,TOTAL,10603
A81033,AF,52,TOTAL,3382
A81033,AST,227,TOTAL,3382
A81033,CAN,72,TOTAL,3382
A81033,CHD,155,TOTAL,3382
A81033,CKD,83,18OV,2709
A81033,COPD,173,TOTAL,3382
A81033,CVDPP,12,30_74,1936
A81033,DEM,24,TOTAL,3382
A81033,DEP,86,18OV,2709
A81033,DM,228,17OV,2742
A81033,EP,35,18OV,2709
A81033,HF,16,TOTAL,3382
A81033,HYP,559,TOTAL,3382
A81033,LD,35,TOTAL,3382
A81033,MH,33,TOTAL,3382
A81033,OB,462,18OV,2709
A81033,OST,4,50OV,1226
A81033,PAD,30,TOTAL,3382
A81033,PC,14,TOTAL,3382
A81033,RA,19,16OV,2782
A81033,STIA,71,TOTAL,3382
A81034,AF,338,TOTAL,21744
A81034,AST,1479,TOTAL,21744
A81034,CAN,484,TOTAL,21744
A81034,CHD,695,TOTAL,21744
A81034,CKD,732,18OV,16324
A81034,COPD,514,TOTAL,21744
A81034,CVDPP,153,30_74,12065
A81034,DEM,181,TOTAL,21744
A81034,DEP,2866,18OV,16324
A81034,DM,1076,17OV,16627
A81034,EP,150,18OV,16324
A81034,HF,227,TOTAL,21744
A81034,HYP,2885,TOTAL,21744
A81034,LD,93,TOTAL,21744
A81034,MH,131,TOTAL,21744
A81034,OB,2039,18OV,16324
A81034,OST,22,50OV,6868
A81034,PAD,135,TOTAL,21744
A81034,PC,184,TOTAL,21744
A81034,RA,85,16OV,16872
A81034,STIA,405,TOTAL,21744
A81035,AF,189,TOTAL,10300
A81035,AST,690,TOTAL,10300
A81035,CAN,244,TOTAL,10300
A81035,CHD,401,TOTAL,10300
A81035,CKD,369,18OV,8039
A81035,COPD,304,TOTAL,10300
A81035,CVDPP,69,30_74,5646
A81035,DEM,62,TOTAL,10300
A81035,DEP,561,18OV,8039
A81035,DM,554,17OV,8175
A81035,EP,94,18OV,8039
A81035,HF,83,TOTAL,10300
A81035,HYP,1463,TOTAL,10300
A81035,LD,100,TOTAL,10300
A81035,MH,118,TOTAL,10300
